x,y0,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10
0,0,0,0,0,0,0,0,0,0,0,0
1,204.305,146.516,84.1845,27.7923,6.22527,1,0.0626224,0.000245578,2.36504e-10,2.1935e-22,0
2,210.049,157.032,96.7026,36.6721,9.90486,2,0.177123,0.0013892,7.56814e-09,2.24615e-19,0
3,213.483,163.53,104.871,43.1293,12.9966,3,0.325396,0.00382818,5.74706e-08,1.29524e-17,0
4,215.954,168.303,111.082,48.3892,15.7594,4,0.500979,0.0078585,2.42181e-07,2.30006e-16,1.97583e-43
5,217.89,172.101,116.152,52.9069,18.3007,5,0.70014,0.0137282,7.39076e-07,2.14209e-15,5.21535e-41
6,219.485,175.267,120.465,56.9095,20.6785,6,0.920358,0.0216555,1.83906e-06,1.32633e-14,4.97527e-39
7,220.842,177.99,124.237,60.529,22.9284,7,1.15978,0.0318372,3.97493e-06,6.1961e-14,2.34686e-37
8,222.025,180.383,127.6,63.8499,25.0743,8,1.41698,0.0444544,7.74978e-06,2.35526e-13,6.61128e-36
9,223.074,182.52,130.641,66.93,27.1332,9,1.69081,0.0596755,1.39654e-05,7.64827e-13,1.25631e-34
10,224.016,184.453,133.423,69.811,29.1178,10,1.9803,0.0776586,2.36504e-05,2.1935e-12,1.74999e-33
11,224.871,186.22,135.991,72.5239,31.0378,11,2.28465,0.0985534,3.80893e-05,5.68938e-12,1.89606e-32
12,225.655,187.847,138.378,75.0925,32.901,12,2.60317,0.122502,5.88499e-05,1.35816e-11,1.66942e-31
13,226.379,189.357,140.611,77.5357,34.7137,13,2.93525,0.14964,8.78124e-05,3.02393e-11,1.23486e-30
14,227.051,190.765,142.711,79.8685,36.4808,14,3.28036,0.180098,0.000127198,6.34481e-11,7.87475e-30
15,227.679,192.086,144.694,82.1033,38.2067,15,3.63803,0.214002,0.000179596,1.26488e-10,4.41893e-29
16,228.267,193.33,146.574,84.2504,39.895,16,4.00784,0.251472,0.000247993,2.41178e-10,2.21838e-28
17,228.821,194.505,148.362,86.3185,41.5489,17,4.38938,0.292625,0.000335802,4.42209e-10,1.00985e-27
18,229.345,195.62,150.068,88.3147,43.1709,18,4.78232,0.337576,0.000446891,7.83183e-10,4.21549e-27
19,229.842,196.681,151.699,90.2455,44.7634,19,5.18633,0.386433,0.000585608,1.34485e-09,1.62883e-26
20,230.314,197.692,153.263,92.1162,46.3285,20,5.60112,0.439304,0.000756814,2.24615e-09,5.87199e-26
21,230.764,198.659,154.766,93.9316,47.868,21,6.02641,0.496293,0.000965908,3.65874e-09,1.98847e-25
22,231.193,199.585,156.213,95.6959,49.3835,22,6.46196,0.557502,0.00121886,5.82593e-09,6.36213e-25
23,231.605,200.474,157.608,97.4126,50.8763,23,6.90751,0.623031,0.00152222,9.08692e-09,1.933e-24
24,231.999,201.329,158.955,99.0852,52.348,24,7.36286,0.692975,0.0018832,1.39076e-08,5.60166e-24
25,232.379,202.153,160.258,100.716,53.7995,25,7.8278,0.767432,0.00230961,2.09189e-08,1.5543e-23
26,232.743,202.947,161.52,102.309,55.232,26,8.30214,0.846492,0.00281,3.09651e-08,4.14352e-23
27,233.095,203.715,162.744,103.865,56.6464,27,8.78568,0.930249,0.00339358,4.51623e-08,1.06446e-22
28,233.434,204.457,163.932,105.387,58.0436,28,9.27827,1.01879,0.00407033,6.49709e-08,2.64233e-22
29,233.762,205.176,165.087,106.877,59.4244,29,9.77973,1.1122,0.00485098,9.22823e-08,6.3531e-22
30,234.08,205.872,166.21,108.336,60.7896,30,10.2899,1.21058,0.00574706,1.29524e-07,1.48275e-21
31,234.387,206.549,167.303,109.766,62.1399,31,10.8087,1.314,0.00677092,1.79786e-07,3.36572e-21
32,234.685,207.205,168.369,111.169,63.4759,32,11.3359,1.42254,0.00793577,2.46967e-07,7.44364e-21
33,234.974,207.844,169.408,112.546,64.7981,33,11.8714,1.53629,0.00925569,3.35952e-07,1.60651e-20
34,235.254,208.465,170.423,113.898,66.1073,34,12.415,1.65534,0.0107457,4.52822e-07,3.38851e-20
35,235.527,209.071,171.414,115.226,67.4037,35,12.9668,1.77975,0.0124217,6.05088e-07,6.99418e-20
36,235.793,209.66,172.382,116.532,68.688,36,13.5264,1.90962,0.0143005,8.0198e-07,1.41448e-19
37,236.051,210.236,173.329,117.816,69.9606,37,14.0939,2.045,0.0164002,1.05476e-06,2.80594e-19
38,236.303,210.797,174.256,119.08,71.2219,38,14.6692,2.18599,0.0187395,1.37713e-06,5.46545e-19
39,236.549,211.345,175.164,120.323,72.4722,39,15.252,2.33266,0.0213384,1.7856e-06,1.04629e-18
40,236.789,211.881,176.053,121.548,73.712,40,15.8424,2.48508,0.0242181,2.30006e-06,1.97031e-18
41,237.023,212.405,176.925,122.755,74.9417,41,16.4401,2.64332,0.0274005,2.94427e-06,3.65285e-18
42,237.251,212.917,177.78,123.944,76.1615,42,17.0453,2.80746,0.0309091,3.74655e-06,6.67218e-18
43,237.475,213.419,178.618,125.116,77.3717,43,17.6576,2.97756,0.0347681,4.74049e-06,1.20156e-17
