x,y
0,0
1,15
2,30
3,45
4,60
5,75
6,90
7,105
8,120
9,135
10,150
11,151.25
12,152.5
13,153.75
14,155
15,156.25
16,157.5
17,158.75
18,160
19,161.25
20,162.5
21,163.75
22,165
23,166.25
24,167.5
25,168.75
26,170
27,171.25
28,172.5
29,173.75
30,175
31,176.25
32,177.5
33,178.75
34,180
35,181.25
36,182.5
37,183.75
38,185
39,186.25
40,187.5
41,188.75
42,190
43,191.25
44,192.5
45,193.75
46,195
47,196.25
48,197.5
49,198.75
50,200
51,200.268
52,200.537
53,200.805
54,201.073
55,201.341
56,201.61
57,201.878
58,202.146
59,202.415
60,202.683
61,202.951
62,203.22
63,203.488
64,203.756
65,204.024
66,204.293
67,204.561
68,204.829
69,205.098
70,205.366
71,205.634
72,205.902
73,206.171
74,206.439
75,206.707
76,206.976
77,207.244
78,207.512
79,207.78
80,208.049
81,208.317
82,208.585
83,208.854
84,209.122
85,209.39
86,209.659
87,209.927
88,210.195
89,210.463
90,210.732
91,211
92,211.268
93,211.537
94,211.805
95,212.073
96,212.341
97,212.61
98,212.878
99,213.146
100,213.415
101,213.683
102,213.951
103,214.22
104,214.488
105,214.756
106,215.024
107,215.293
108,215.561
109,215.829
110,216.098
111,216.366
112,216.634
113,216.902
114,217.171
115,217.439
116,217.707
117,217.976
118,218.244
119,218.512
120,218.78
121,219.049
122,219.317
123,219.585
124,219.854
125,220.122
126,220.39
127,220.659
128,220.927
129,221.195
130,221.463
131,221.732
132,222
133,222.268
134,222.537
135,222.805
136,223.073
137,223.341
138,223.61
139,223.878
140,224.146
141,224.415
142,224.683
143,224.951
144,225.22
145,225.488
146,225.756
147,226.024
148,226.293
149,226.561
150,226.829
151,227.098
152,227.366
153,227.634
154,227.902
155,228.171
156,228.439
157,228.707
158,228.976
159,229.244
160,229.512
161,229.78
162,230.049
163,230.317
164,230.585
165,230.854
166,231.122
167,231.39
168,231.659
169,231.927
170,232.195
171,232.463
172,232.732
173,233
174,233.268
175,233.537
176,233.805
177,234.073
178,234.341
179,234.61
180,234.878
181,235.146
182,235.415
183,235.683
184,235.951
185,236.22
186,236.488
187,236.756
188,237.024
189,237.293
190,237.561
191,237.829
192,238.098
193,238.366
194,238.634
195,238.902
196,239.171
197,239.439
198,239.707
199,239.976
200,240.244
201,240.512
202,240.78
203,241.049
204,241.317
205,241.585
206,241.854
207,242.122
208,242.39
209,242.659
210,242.927
211,243.195
212,243.463
213,243.732
214,244
215,244.268
216,244.537
217,244.805
218,245.073
219,245.341
220,245.61
221,245.878
222,246.146
223,246.415
224,246.683
225,246.951
226,247.22
227,247.488
228,247.756
229,248.024
230,248.293
231,248.561
232,248.829
233,249.098
234,249.366
235,249.634
236,249.902
237,250.171
238,250.439
239,250.707
240,250.976
241,251.244
242,251.512
243,251.78
244,252.049
245,252.317
246,252.585
247,252.854
248,253.122
249,253.39
250,253.659
251,253.927
252,254.195
253,254.463
254,254.732
255,255
